"accession","gene_symbol"
"XP_005271966.1","DMXL1"""
"BAD92950.1","UV excision repair protein RAD23 homolog A variant, partial [Homo sapiens]"
"AAI21006.1","CTNNBL1"""
"AAC41768.1","KRT6B"""
"EAW88838.1","NDUFA9"""
"XP_016878742.1","NTHL1"""
"EAX05327.1","hCG1990955, isoform CRA_a, partial [Homo sapiens]"
"XP_006711430.1","UCHL5"""
"BAG35999.1","unnamed protein product [Homo sapiens]"
"CAG38575.1","SAS10"""
"BAO02311.1","HLA-B"""
"AAN77183.1","SCAF6"""
"NP_056450.2","GAPVD1"""
"XP_016879224.1","SLC7A5"""
"XP_016856545.1","GCLM"""
"AAH39148.1","KRT79"""
"XP_011517323.1","EHMT1"""
"BAD97145.1","heterogeneous nuclear ribonucleoprotein AB isoform a variant, partial [Homo sapiens]"
"NP_001316485.1","REEP6"""
"BAG70238.1","DUSP3"""
"XP_016859290.1","GFPT1"""
"NP_001116078.1","LAMP2"""
"NP_004290.2","ABCB7"""
"Q8WX92.1","NELFB"""
"XP_011543556.1","NAA40"""
"AAH17936.1","GAMT"""
"CAD38749.1","DKFZp434I1130"""
"NP_443108.1","NACC1"""
"BAF83656.1","unnamed protein product [Homo sapiens]"
"AAA60151.1","SNRPB"""
"NP_005724.1","KIF20A"""
"CAA79922.1","X-linked ALD"""
"XP_005256652.2","DHRS7B"""
"AAG28784.1","FKSG7"""
"XP_005247411.1","ATP2C1"""
"AAP97182.1","myeloid upregulated protein [Homo sapiens]"
"EAW78866.1","COMMD2"""
"AAC63972.1","ORC5L"""
"EAW51118.1","SUPT6H"""
"AAQ75703.1","BZRP"""
"BAA91546.1","unnamed protein product [Homo sapiens]"
"XP_005256095.1","VAC14"""
"XP_011526347.1","MRPL4"""
"NP_001273006.1","UBXN1"""
"CAG46834.1","BCAS2"""
"EAW84775.1","ARMC6"""
"AAO41715.1","SH2A [Homo sapiens]"
"NP_001310832.1","LEO1"""
"NP_955392.1","TPD52L2"""
"NP_001025189.1","APRT"""
"AAB37341.1","KAP-1"""
"AAP97194.1","G-16 [Homo sapiens]"
"Q6DKI1.1","RPL7L1"""
"XP_011531409.1","SMC6"""
"BAF85601.1","unnamed protein product [Homo sapiens]"
"XP_005256612.1","FLII"""
"EAW91381.1","LMOD1"""
"AAH44587.1","LSM12"""
"Q15165.3","PON2"""
"XP_005246300.1","LANCL1"""
"BAG70055.1","TFAM"""
"NP_057678.1","FKBP11"""
"XP_006723627.1","ITPA"""
"NP_003008.1","SRSF3"""
"XP_011509878.1","RANBP2"""
"CAA77753.1","40kDa protein kinase [Homo sapiens]"
"NP_056289.2","SAMHD1"""
"XP_016876283.1","STK24"""
"EAW50744.1","HDAC6"""
"NP_006658.1","PGRMC1"""
"XP_011512612.2","MAPK14"""
"XP_005256393.1","CSNK1D"""
"BAD93136.1","Hypothetical protein DKFZp434O1826 variant, partial [Homo sapiens]"
"NP_055118.1","PES1"""
"ALQ33724.1","PMM2"""
"NP_055953.3","RTF1"""
"EAW55991.1","DAB2"""
"BAD93155.1","membrane alanine aminopeptidase precursor variant, partial [Homo sapiens]"
"BAC11104.1","unnamed protein product [Homo sapiens]"
"NP_004623.1","DAP3"""
"NP_006690.1","MAN1A2"""
"EAW69066.1","hCG1811164, isoform CRA_a [Homo sapiens]"
"EAW87877.1","PPP2R4"""
"NP_001295155.1","RPS15"""
"NP_067639.1","SCPEP1"""
"EAW67961.1","PACSIN3"""
"EAW84967.1","TMED9"""
"NP_852478.1","ITGA1"""
"Q5T1J5.1","CHCHD2P9"""
"NP_001129498.1","SEC13"""
"BAF85412.1","unnamed protein product [Homo sapiens]"
"NP_055321.1","TOR1B"""
"AAD27719.1","CGI-10 protein [Homo sapiens]"
"NP_057292.1","VPS28"""
"EAX03782.1","RPS10"""
"NP_004580.1","SCO1"""
"EAW79783.1","RPL24"""
"Q9HB07.2","C12orf10"""
"AAF29004.1","HSPC326, partial [Homo sapiens]"
"NP_004716.1","BUB3"""
"BAG61577.1","unnamed protein product [Homo sapiens]"
"NP_055112.2","ETHE1"""
"XP_016872371.1","MCU"""
"XP_005254127.1","TPP2"""
"NP_001265568.1","RANBP1"""
"BAD92457.1","26S proteasome-associated pad1 homolog variant, partial [Homo sapiens]"
"AAA85659.1","ribosomal protein S9 [Homo sapiens]"
"AAC70904.1","Nlvcf"""
"CAA25918.1","unnamed protein product [Homo sapiens]"
"EAW84427.1","GIPC1"""
"AAI13876.2","UHRF1"""
"EAW92285.1","C15orf24"""
"XP_016883301.1","GNAS"""
"BAD92708.1","ribosomal protein L12 variant, partial [Homo sapiens]"
"NP_001186708.1","PSMB2"""
"ABQ50603.1","AIP"""
"NP_004628.4","RAB7A"""
"NP_689968.1","CNPY4"""
"EAW76049.1","KIAA0406"""
"EAW75904.1","ADA"""
"NP_006661.1","TPBG"""
"AAB87693.1","SRP1gamma"""
"XP_016884318.1","PI4KA"""
"AAF68967.1","putative serine-rich protein, partial [Homo sapiens]"
"AAH12831.1","EXOSC7"""
"AAH00762.1","DCI"""
"BAD92470.1","nuclear cap binding protein subunit 1, 80kDa variant, partial [Homo sapiens]"
"XP_016874257.1","OSBPL8"""
"XP_016856038.1","TMEM201"""
"CAG33614.1","REC14"""
"NP_001269163.1","PSMA6"""
"BAG35660.1","unnamed protein product [Homo sapiens]"
"CAA42744.1","ERK1"""
"Q9UM00.1","TMCO1"""
"NP_036560.1","NPTN"""
"BAG35362.1","unnamed protein product [Homo sapiens]"
"AAA52383.1","EIF2"""
"AAA59555.1","MACS"""
"NP_004069.1","CSRP1"""
"ABB18377.1","transferrin receptor trafficking protein [Homo sapiens]"
"BAC86038.1","unnamed protein product [Homo sapiens]"
"ALP06202.1","JMJD6"""
"XP_011532633.1","OXSR1"""
"AAQ76796.1","HSPC129"""
"AAH00494.1","EIF2B2"""
"NP_001168.1","ARL1"""
"CAD56470.1","hypothetical protein [Homo sapiens]"
"NP_001075.1","PLOD3"""
"EAW94506.1","MSI2"""
"NP_001317604.1","PSMA4"""
"NP_057614.1","RAB8B"""
"BAG37746.1","unnamed protein product [Homo sapiens]"
"NP_071761.1","TFB2M"""
"EAW75996.1","TOP1"""
"AAB61466.1","p21-Arc [Homo sapiens]"
"AAH08790.1","GSTM3"""
"NP_054884.1","NDUFAF4"""
"AAK69110.1","PWP1-interacting protein 4 [Homo sapiens]"
"NP_001315.1","CSTF1"""
"NP_001340434.1","INTS10"""
"BAB55251.1","unnamed protein product [Homo sapiens]"
"XP_006710735.1","SH3GLB1"""
"NP_065108.1","TIGAR"""
"NP_001303260.1","ABHD14A-ACY1"""
"XP_005264378.1","MEIS1"""
"NP_001304712.1","GFUS"""
"P49189.3","ALDH9A1"""
"AAH78662.1","RAB6B"""
"XP_011514990.1","ZC3HAV1L"""
"AAH14657.1","SYAP1"""
"O75150.4","RNF40"""
"BAG53609.1","unnamed protein product [Homo sapiens]"
"AAF17202.1","ribosomal protein L13 [Homo sapiens]"
"XP_005251037.1","PLEC"""
"XP_011521075.1","TELO2"""
"AAQ64005.1","RNASEH2A"""
"NP_710154.1","IKBIP"""
"XP_006714294.1","AADAT"""
"EAW88064.1","RPL7A"""
"BAG59829.1","unnamed protein product [Homo sapiens]"
"P53634.2","CTSC"""
"AAA35749.1","DNA-binding protein A, partial [Homo sapiens]"
"BAA77601.2","thioredoxin reductase II alpha, partial [Homo sapiens]"
"BAA91665.1","unnamed protein product [Homo sapiens]"
"CAA35621.1","nm23"""
"CAB66652.1","DKFZp566F1646"""
"AAH43347.1","GTF3C3"""
"BAG64814.1","unnamed protein product [Homo sapiens]"
"BAG36960.1","unnamed protein product [Homo sapiens]"
"NP_777549.1","NDUFAF2"""
"EAW61187.1","BSG"""
"EAW89818.1","FN3KRP"""
"BAD96399.1","proteasome 26S non-ATPase subunit 12 isoform 1 variant, partial [Homo sapiens]"
"CAB66576.1","DKFZp564G083"""
"AAQ88866.1","CLN2 [Homo sapiens]"
"XP_005250727.1","BUD31"""
"NP_001406.1","EIF2S3"""
"XP_011542496.1","MTR"""
"NP_000108.1","EMD"""
"EAW47659.1","DYNLT1"""
"XP_011534403.1","UTRN"""
"AAF90133.1","DNA polymerase epsilon p17 subunit [Homo sapiens]"
"EAW78564.1","GOLPH4"""
"NP_055083.1","MAPRE2"""
"BAG37313.1","unnamed protein product [Homo sapiens]"
"BAD92228.1","succinate dehydrogenase complex, subunit A, flavoprotein precursor variant, partial [Homo sapiens]"
"BAG61806.1","unnamed protein product [Homo sapiens]"
"BAF85494.1","unnamed protein product [Homo sapiens]"
"AAD44481.1","dynein light chain-A [Homo sapiens]"
"AAH29046.1","H1F0"""
"XP_016885057.1","PDZD11"""
"NP_803173.1","STX12"""
"NP_006433.2","DRAP1"""
"AAB67716.1","tubulin folding cofactor B [Homo sapiens]"
"AAN75822.1","URP1"""
"NP_002892.1","RCN1"""
"EAW67429.1","hCG38438, isoform CRA_c [Homo sapiens]"
"NP_001304092.1","C5"""
"NP_006547.1","PMVK"""
"AAB82714.1","branched chain alpha-ketoacid dehydrogenase kinase precursor [Homo sapiens]"
"NP_009049.2","TRIO"""
"EAW74226.1","PPP1R14B"""
"BAF82444.1","unnamed protein product [Homo sapiens]"
"EAW92248.1","RPL35A"""
"Q52LJ0.1","FAM98B"""
"AAH39249.1","ZCCHC24"""
"BAD96409.1","hypothetical protein FLJ20013 variant, partial [Homo sapiens]"
"EAX00450.1","YIPF4"""
"BAG37028.1","unnamed protein product [Homo sapiens]"
"AAC51195.1","Rab27a [Homo sapiens]"
"XP_005265616.1","OXNAD1"""
"AAC51834.1","EIF1AY"""
"NP_006806.1","TMED2"""
"AAB61638.1","beta-3A-adaptin subunit of the AP-3 complex [Homo sapiens]"
"NP_001271317.1","NOLC1"""
"NP_001686.1","ATP6V1C1"""
"NP_001650.1","ARF3"""
"XP_005247645.1","CDV3"""
"AAA52129.1","CTSB"""
"NP_001036100.1","NGDN"""
"XP_016870379.1","STRBP"""
"NP_068733.1","CFL2"""
"AAG43133.1","My019 protein [Homo sapiens]"
"AAF37321.1","OPH"""
"NP_001304040.1","MOB1A"""
"NP_036277.2","DTYMK"""
"AAA63169.1","CYB5"""
"EAW95074.1","C1orf128"""
"BAB67820.3","KIAA1927"""
"AAH17210.1","CPOX"""
"ACA06069.1","ROCK1"""
"BAD97162.1","down-regulator of transcription 1 variant, partial [Homo sapiens]"
"XP_011509935.1","ANAPC1"""
"AQY76831.1","GNL1 [Homo sapiens]"
"EAW90717.1","hCG2024989, isoform CRA_b [Homo sapiens]"
"AAH68012.1","ATXN2L"""
"EAW74448.1","CFL1"""
"CAJ26354.2","HLA-B"""
"NP_000335.1","SMN1"""
"AAG49441.1","LYST-interacting protein LIP2, partial [Homo sapiens]"
"EAW55043.1","RAC1"""
"NP_055037.1","NDUFA8"""
"EAX02599.1","TMEM11"""
"CAA53064.1","seb4B(human)"""
"NP_005650.2","UFD1"""
"CAG28565.1","ARL3"""
"EAW50212.1","FIS1"""
"AAH08745.1","CRTAP"""
"AAA93299.1","p60 [Homo sapiens]"
"ACP18852.1","CRYAB"""
"XP_005260640.1","RAE1"""
"CAB55894.1","DKFZp566L083"""
"AAK83033.1","HCA90"""
"EAW53621.1","NCBP2"""
"NP_001316324.1","VMP1"""
"XP_016884480.1","ASCC2"""
"BAG34735.1","unnamed protein product [Homo sapiens]"
"AAB59391.1","HPRT"""
"NP_001035919.1","TGFB1I1"""
"NP_001269079.1","VPS29"""
"NP_002731.4","PRKCI"""
"BAG34890.1","unnamed protein product [Homo sapiens]"
"NP_064576.1","MRPS22"""
"AAH29482.1","HSPC152"""
"EAW50986.1","hCG1985580, isoform CRA_b [Homo sapiens]"
"AAC78611.1","intersectin long form [Homo sapiens]"
"AAF01278.1","activating signal cointegrator 1 [Homo sapiens]"
"NP_852127.2","MRPL55"""
"BAA03754.1","BDR-1 protein [Homo sapiens]"
"NP_057132.2","ISOC1"""
"EAW60005.1","hCG2010544 [Homo sapiens]"
"NP_588614.1","PLCD3"""
"AAG43047.1","VATD"""
"NP_002148.1","HSPE1"""
"NP_001653.1","ARF5"""
"NP_001289978.1","MYL12A"""
"BAB14138.1","unnamed protein product [Homo sapiens]"
"AAP97261.1","heparin-binding protein HBp15 [Homo sapiens]"
"AAQ09943.1","PFAAP1"""
"NP_001269091.1","CAPZB"""
"AAH07069.1","RFK"""
"NP_001026854.1","SRSF7"""
"XP_016866762.1","DEK"""
"ALQ33937.1","MPDU1"""
"NP_001157940.1","TMED7-TICAM2"""
"P36639.3","NUDT1"""
"BAH14104.1","unnamed protein product [Homo sapiens]"
"XP_011507899.1","RRP15"""
"EAW48010.1","RPS12"""
"XP_005247986.1","TACC3"""
"NP_079472.1","GRPEL1"""
"AAG33617.1","PRP"""
"NP_653237.1","CHCHD4"""
"O43739.2","CYTH3"""
"BAA25818.1","ribosomal protein S11, partial [Homo sapiens]"
"EAW91118.1","GLUL"""
"AAH10493.1","UFSP2"""
"P30044.4","PRDX5"""
"EAX03698.1","RPS18"""
"EAW51023.1","hCG2040579, partial [Homo sapiens]"
"AAA99715.1","LUCA15"""
"EAW76471.1","TRIP6"""
"NP_001135757.1","RPS24"""
"AAA51585.1","ACTN3"""
"NP_004057.1","CETN1"""
"BAD96276.1","ras homolog gene family, member A variant, partial [Homo sapiens]"
"AAD34140.1","CGI-145 protein [Homo sapiens]"
"XP_006721135.2","SLC5A2"""
"ALQ34096.1","DCTN4"""
"CAE11897.1","SNRPD1"""
"EAW58315.1","C9orf19"""
"NP_710156.3","C2orf69"""
"NP_004837.1","EIF4E2"""
"AAO39681.1","HARE"""
"Q5K4L6.3","SLC27A3"""
"NP_060422.4","PTCD3"""
"AAM21121.1","ARHG"""
"NP_001312.1","CSRP2"""
"NP_000933.1","PPIB"""
"BAD97092.1","thymidylate synthetase variant, partial [Homo sapiens]"
"CAA54808.1","RPS26"""
"AAC15854.1","ribosomal protein S13, partial [Homo sapiens]"
"NP_001164014.1","PGAM5"""
"NP_002120.1","HMGB2"""
"BAF83333.1","unnamed protein product [Homo sapiens]"
"NP_001317289.1","POLA1"""
"AAP30843.1","KIAA0377 splice variant 2 [Homo sapiens]"
"AAO64723.1","cyclophilin [Homo sapiens]"
"NP_001129514.2","PTGES3L-AARSD1"""
"NP_001292553.1","CALM2"""
"NP_036252.1","CD2AP"""
"AAH05359.1","GMFB"""
"EAW95621.1","KARS"""
"BAD96531.1","maternal embryonic leucine zipper kinase variant, partial [Homo sapiens]"
"BAD96719.1","fibrinogen-like 2 variant, partial [Homo sapiens]"
"XP_011523408.1","SDF2"""
"CAA24951.1","unnamed protein product [Homo sapiens]"
"AAA03602.1","HLA-A-6802"""
"EAW87602.1","RPL35"""
"XP_016878374.1","CORO1A"""
"AAA88046.1","glycogen synthase [Homo sapiens]"
"NP_006629.2","RPP40"""
"AAA59558.1","MBN"""
"NP_055635.3","TOMM70"""
"XP_005246454.1","FN1"""
"EAW92217.1","DENND3"""
"AAH36470.1","CDH2"""
"NP_001243339.1","RAB18"""
"EAX08579.1","EXOSC8"""
"NP_055082.1","C11orf58"""
"XP_016877890.1","DNAJC17"""
"AAB59629.1","E2K"""
"NP_057715.2","PAXBP1"""
"EAW95031.1","AOF2"""
"EAW61633.1","LARP1"""
"NP_006364.2","VAT1"""
"AAQ76805.1","MGC2714"""
"AAH43437.1","DCP1B"""
"NP_006775.1","WDR3"""
"BAF83616.1","unnamed protein product [Homo sapiens]"
"NP_036203.1","COMMD3"""
"AGP01340.1","immunoglobulin A heavy chain variable region, partial [Homo sapiens]"
"XP_006723900.1","NDRG3"""
"NP_036526.2","PFDN2"""
"AAH00981.1","SPATA5L1"""
"XP_016868239.1","CDK13"""
"P55145.3","MANF"""
"AAA51691.1","aldolase B [Homo sapiens]"
"AAH59950.1","RPL12"""
"NP_000685.1","ALDH3B1"""
"NP_001014433.1","CUTA"""
"NP_001127703.1","NT5DC2"""
"XP_011543886.1","APOO"""
"XP_006723003.1","TRIP10"""
"EAW80294.1","hCG1989166, isoform CRA_a [Homo sapiens]"
"XP_011533696.1","ASCC3"""
"BAG58514.1","unnamed protein product [Homo sapiens]"
"BAF84867.1","unnamed protein product [Homo sapiens]"
"NP_005442.2","PDLIM7"""
"EAW70485.1","MYL1"""
"EAX07970.1","PSPH"""
"BAD97208.1","SNARE protein Ykt6 variant, partial [Homo sapiens]"
"EAW52567.1","PNKP"""
"NP_059140.1","CHRAC1"""
"NP_001137232.1","EIF5A"""
"AAH03018.1","Unknown (protein for IMAGE:2822726), partial [Homo sapiens]"
"NP_849193.1","STT3B"""
"NP_003783.1","EDF1"""
"XP_011511221.1","XRN1"""
"AAH07082.1","SMARCE1"""
"AAO65164.1","sarcoma antigen NY-SAR-16, partial [Homo sapiens]"
"P69891.2","HBG1"""
"BAB15422.1","unnamed protein product [Homo sapiens]"
"NP_065147.1","DDX24"""
"EAW59201.1","DHODH"""
"EAW64004.1","hCG1995701, isoform CRA_g [Homo sapiens]"
"BAA92118.1","unnamed protein product [Homo sapiens]"
"AAA99220.1","cytochrome c oxidase subunit Va [Homo sapiens]"
"AAF89954.1","VPS26"""
"AAI07895.1","NME1-NME2"""
"BAD96855.1","SCIRP10-related protein variant, partial [Homo sapiens]"
"NP_002487.1","NDUFS8"""
"O15173.1","PGRMC2"""
"ACM61990.1","HSPD1"""
"NP_078772.1","IRF2BPL"""
"XP_016859676.1","ATIC"""
"NP_055223.1","TRAPPC3"""
"NP_001191455.1","SSR4"""
"CAA76390.2","KRTHA8"""
"BAF84666.1","unnamed protein product [Homo sapiens]"
"EAW86930.1","COPS5"""
"NP_001135825.1","PPP3CB"""
"NP_002404.1","MGST2"""
"EAW73266.1","POLDIP3"""
"BAD92522.1","activated RNA polymerase II transcription cofactor 4 variant, partial [Homo sapiens]"
"NP_055070.1","CNPY2"""
"AAD33400.1","CHIP"""
"CAA55816.1","rpl11"""
"AAB18375.1","N33"""
"Q9NRG7.2","SDR39U1"""
"AAG44670.1","CDA016 [Homo sapiens]"
"EAW88347.1","MAN1B1"""
"NP_004242.1","RAB9A"""
"NP_001265627.1","POLR2H"""
"Q9NR09.2","BIRC6"""
"NP_001307156.1","NMD3"""
"NP_071942.1","MRPS25"""
"P13164.3","IFITM1"""
"XP_005255690.1","NUDT16L1"""
"BAD92296.1","actin related protein 2/3 complex subunit 1A variant, partial [Homo sapiens]"
"AAP35656.1","ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast) [Homo sapiens]"
"AAQ89073.1","AAAS764 [Homo sapiens]"
"XP_016865173.1","RPS14"""
"CAB66159.1","WDR5"""
"CAH10555.1","DKFZp686J1643"""
"Q8WW59.2","SPRYD4"""
"NP_002614.2","PFDN4"""
"BAD93013.1","prosaposin variant, partial [Homo sapiens]"
"NP_001019265.1","NR3C1"""
"AAI43319.1","PODXL"""
"BAG50859.1","unnamed protein product [Homo sapiens]"
"AAH52781.1","RANBP9"""
"AAB66315.1","dihydrolipoamide dehydrogenase-binding protein [Homo sapiens]"
"CAD97986.1","DKFZp686H07150"""
"XP_016858330.1","VAMP3"""
"XP_011530505.1","SNCA"""
"BAD96329.1","lectin, mannose-binding 2 variant, partial [Homo sapiens]"
"NP_001193725.1","PKM"""
"XP_016876857.1","DHRS7"""
"XP_011515977.1","CDKN2A"""
"CAA53059.1","unnamed protein product [Homo sapiens]"
"AAH05122.1","ARFGAP3"""
"BAG61164.1","unnamed protein product [Homo sapiens]"
"NP_001290385.1","POLR3C"""
"XP_006721703.1","P3H4"""
"AAC35881.1","rab3-GAP regulatory domain [Homo sapiens]"
"XP_006711367.2","MIA3"""
"NP_005708.1","ARPC5"""
"AEP23663.1","ATP6"""
"BAH13430.1","unnamed protein product [Homo sapiens]"
"NP_689478.1","BTF3L4"""
"CAB93534.2","PPP4R2"""
"NP_112223.1","TRIM56"""
"NP_808210.2","SNRPD2"""
"EAX02335.1","RNH1"""
"P49750.3","YLPM1"""
"AAH13590.1","EIF2B5"""
"NP_006454.1","STAMBP"""
"NP_001171846.1","PCYT2"""
"AAH62716.1","RPL23"""
"AAA36583.1","ribosomal protein L10 [Homo sapiens]"
"AAH66884.1","HIST1H3I"""
"EAW58120.1","SMARCD1"""
"AAH09308.1","C16orf58"""
"NP_003565.4","VAPA"""
"NP_001310552.1","GNL2"""
"BAD96302.1","PKCI-1-related HIT protein variant, partial [Homo sapiens]"
"AAP68820.1","acidic ribosomal phosphoprotein P1 [Homo sapiens]"
"AAI19733.1","FKBP1A"""
"BAG35625.1","unnamed protein product [Homo sapiens]"
"AAQ03093.1","SHINC-2 [Homo sapiens]"
"EAW61081.1","LOC388817"""
"AAC60592.1","B-raf"""
"AAA74235.1","G13"""
"EAW52996.1","LMNA"""
"NP_001265874.1","PBK"""
"NP_001034554.1","SRSF5"""
"NP_060377.1","LAMTOR1"""
"AAB40147.1","MHC Class I region proline rich protein [Homo sapiens]"
"BAB15500.1","unnamed protein product [Homo sapiens]"
"AAI37085.1","ZFR"""
"NP_115551.2","UTP15"""
"NP_054908.2","ADD1"""
"Q9NXE4.2","SMPD4"""
"XP_016880250.1","PFN1"""
"EAW94559.1","WDR50"""
"Q6DN03.3","H2BC20P"""
"XP_016876581.1","FKBP3"""
"Q9UMY4.3","SNX12"""
"AAC73008.1","4-hydroxyphenylpyruvate-dioxygenase [Homo sapiens]"
"NP_001869.1","CRABP2"""
"EAW98602.1","PGK1"""
"AAQ88811.1","LMFA1925 [Homo sapiens]"
"NP_003507.1","H2AC18"""
"NP_060740.1","MRGBP"""
"P11717.3","IGF2R"""
"BAG64608.1","unnamed protein product [Homo sapiens]"
"AAA52424.1","F5"""
"NP_036440.1","KDM2A"""
"EAW93603.1","RPA3"""
"BAH12514.1","unnamed protein product [Homo sapiens]"
"BAD93075.1","acid phosphatase 1 isoform c variant, partial [Homo sapiens]"
"BAF84919.1","unnamed protein product [Homo sapiens]"
"AAH22494.1","MAOB"""
"NP_612452.1","HAUS1"""
"XP_005246698.1","SERPINE2"""
"BAG50851.1","unnamed protein product [Homo sapiens]"
"AAK38372.1","CLLD7"""
"AAH56219.1","DHX29"""
"EAW48944.1","hCG1640785, isoform CRA_a [Homo sapiens]"
"EAW64573.1","CMYA1"""
"EAW73540.1","SBF1"""
"NP_996896.1","ELOB"""
"NP_004609.1","TOP3A"""
"EAX01930.1","COX5B"""
"NP_776170.2","BLOC1S2"""
"XP_011519114.1","BICD1"""
"EAW91769.1","RPL30"""
"EAW77607.1","VPS13C"""
"EAW90382.1","PFN1"""
"XP_016862206.1","ANO10"""
"NP_006734.1","RBM3"""
"SAI82135.1","GLNC1"""
"EAW87089.1","hCG1984476, isoform CRA_b [Homo sapiens]"
"NP_944490.1","SRI"""
"NP_057021.2","PIGT"""
"NP_115963.1","DPY30"""
"EAW69547.1","POLR2E"""
"NP_004791.1","TM9SF2"""
"XP_005272751.2","SLC38A5"""
"BAD96610.1","N-sulfoglucosamine sulfohydrolase (sulfamidase) variant, partial [Homo sapiens]"
"NP_003125.3","SRP14"""
"EAW79487.1","CCDC58"""
"XP_005262425.1","DOCK11"""
"AAA36179.1","macrophage migration inhibitory factor, partial [Homo sapiens]"
"XP_011514672.1","RBM28"""
"CAG33360.1","H2AFX"""
"EAW56893.1","RPS16"""
"NP_001678.1","ATP5F1D"""
"XP_005268422.1","TCERG1"""
"AAH02487.1","TSG101"""
"AAQ24858.1","CREB [Homo sapiens]"
"EAW51228.1","CPD"""
"NP_001343945.1","ACP2"""
"EAW75631.1","hCG2044781 [Homo sapiens]"
"BAD97182.1","transmembrane protein 14C variant, partial [Homo sapiens]"
"XP_011516080.2","ELAVL2"""
"AAB62722.1","SCAMP1"""
"EAW50259.1","hCG1994130, isoform CRA_d [Homo sapiens]"
"NP_002296.1","LGALS1"""
"AAA64537.1","hCRHP"""
"NP_006861.1","DSTN"""
"P02461.4","COL3A1"""
"AAI42728.1","USP19"""
"AAC39757.1","SSH3BP1"""
"EAW78386.1","NDUFB5"""
"BAA14006.1","MM-1"""
"CAC38828.1","OTT-MAL fusion"""
"XP_006717199.1","MRPS2"""
"EAW84687.1","LSM4"""
"XP_005250105.1","SSBP1"""
"Q9HA65.2","TBC1D17"""
"ABQ95571.1","MIF"""
"NP_001014446.1","OCIAD2"""
"AAQ15225.1","FP944 [Homo sapiens]"
"XP_011520041.1","COMMD4"""
"BAG51211.1","unnamed protein product [Homo sapiens]"
"XP_011518702.1","FAR1"""
"AAL99921.1","CLL-associated antigen KW-14 [Homo sapiens]"
"Q9Y237.1","PIN4"""
"BAC77355.1","putative NFkB activating protein [Homo sapiens]"
"NP_001093326.2","IKBKG"""
"EAW70571.1","RPL37A"""
"AAH62437.1","COX4I1"""
"AAA16188.1","MAC30"""
"AAH24292.1","KRT5"""
"BAC11449.1","unnamed protein product [Homo sapiens]"
"AAD34070.1","CGI-75 protein [Homo sapiens]"
"EAW55544.1","HIST1H4E"""
"AAI46846.1","TRIP11"""
"NP_001138926.1","STMN1"""
"NP_001193541.1","CHTOP"""
"XP_016878625.1","GCSH"""
"NP_001295374.1","NAA50"""
"EAW94647.1","ITGA3"""
"A6NCN2.4","KRT87P"""
"EAW61129.1","DBNL"""
"AAA50598.1","homolog of Drosophila discs large protein, isoform 2 [Homo sapiens]"
"AAH32008.1","MRPL50"""
"XP_016882602.1","RPS19"""
"EAW90985.1","MRPS14"""
"NP_061980.1","MYDGF"""
"NP_057146.1","CIAO2B"""
"NP_001337671.1","SRPK2"""
"BAG62962.1","unnamed protein product [Homo sapiens]"
"BAA25448.1","KIAA0522"""
"CAG46697.1","PPIH"""
"AAV33304.1","aging-associated gene 8 protein [Homo sapiens]"
"NP_001146956.1","SCOC"""
"BAD97123.1","bleomycin hydrolase variant, partial [Homo sapiens]"
"AAH30822.1","TTC5"""
"AAC08964.1","BCRG1"""
"BAB15393.1","unnamed protein product [Homo sapiens]"
"BAG58909.1","unnamed protein product [Homo sapiens]"
"EAW88132.1","COL5A1"""
"NP_060357.1","CZIB"""
"XP_005256923.1","NCOR1"""
"EAW89316.1","GALK1"""
"NP_001142.2","SLC25A4"""
"Q9H6T0.1","ESRP2"""
"AAM49721.1","hypothetical protein [Homo sapiens]"
"EAW51741.1","DDI2"""
"XP_011511125.1","LPP"""
"AAQ13608.1","MSTP085 [Homo sapiens]"
"CAG33096.1","EBP"""
"NP_004773.1","SNAP29"""
"AAH28697.3","WDR44"""
"CAG28544.1","ATP1B1"""
"AAV74399.1","leukemia multidrug resistance associated protein, partial [Homo sapiens]"
"NP_036329.3","RABGAP1"""
"BAA91165.1","unnamed protein product [Homo sapiens]"
"BAG62522.1","unnamed protein product [Homo sapiens]"
"NP_683685.1","MRPL10"""
"EAW75371.1","RPS21"""
"NP_077001.1","DCTPP1"""
"BAG35122.1","unnamed protein product [Homo sapiens]"
"EAW50181.1","PAPSS2"""
"XP_011517254.1","TLE4"""
"XP_011526969.1","EPB41L1"""
"AAA52561.1","GUSB"""
"AAD27732.1","CGI-23 protein [Homo sapiens]"
"XP_016880732.1","DGKE"""
"CAA09590.2","sphingosine-1-phosphate lyase [Homo sapiens]"
"XP_016874205.1","PTGES3"""
"CAI23568.1","HIST2H3PS2"""
"CAB66579.1","DKFZp564M173"""
"EAW78957.1","hCG27481, isoform CRA_c [Homo sapiens]"
"BAD96512.1","cation-dependent mannose-6-phosphate receptor precursor variant, partial [Homo sapiens]"
"AAH18043.1","SERPINI1"""
"XP_011515885.1","UBE2V2"""
"AAA68889.1","AAMP"""
"AAH24282.1","Similar to AFG3 ATPase family gene 3-like 2 (yeast), partial [Homo sapiens]"
"AAH78659.1","LTBP2"""
"AAH11988.1","CD9"""
"AAY14877.1","POLR2D"""
"EAW75788.1","PPGB"""
"BAG63891.1","unnamed protein product [Homo sapiens]"
"AAH07340.3","BYSL"""
